email,label
"Your account has suspicious activity.",1
"Happy Easter wishes!",0
"Verify your identity for secure access.",1
"Invoice attached for your records.",0
"Congratulations! Claim your reward now.",1
"Weekly update from management.",0
"Account locked due to suspicious login.",1
"Your package delivery has been delayed.",0
"Security alert: Confirm your account.",1
"Thank you for joining our community!",0
"Urgent: Reset your password immediately.",1
"Meeting minutes from last week.",0
"Your payment has been processed.",0
"Win a new car! Click here!",1
"Project kickoff scheduled.",0
"Your account is temporarily suspended.",1
"Newsletter: Company updates.",0
"Verify your phone number to continue.",1
"Thank you for your donation.",0
"Alert: Account breach detected.",1
"Your subscription expires soon.",0
"Claim your exclusive offer today.",1
"Team goals for Q3.",0
"Your account activity report.",0
"Urgent: Confirm your billing details.",1
"Happy Thanksgiving!",0
"Verify now to prevent account suspension.",1
"Your recent transaction receipt.",0
"Congratulations! You are a lucky winner.",1
"Meeting agenda for Friday.",0
"Suspicious activity on your account.",1
"Your order has been shipped.",0
"Urgent: Update your account information.",1
"Thank you for your participation.",0
"Alert: Unauthorized access detected.",1
"Your monthly statement is ready.",0
"Win a free cruise! Click here.",1
"Team updates and announcements.",0
"Account verification required.",1
"Your password was changed successfully.",0
"Claim your bonus reward now.",1
"Meeting notes attached.",0
"Your account has been compromised.",1
"Happy holidays from all of us!",0
"Verify your email address to continue.",1
"Invoice for your recent purchase.",0
"Congratulations! You won a prize.",1
"Weekly report attached.",0
"Alert: Your account has suspicious activity.",1
"Your package has been delivered.",0
"Urgent: Confirm your identity.",1
"Thank you for your order.",0
"Security notice: Change your password.",1
"Project update and deadlines.",0
"Your account is locked. Verify now.",1
"Happy Mother's Day!",0
"Verify your contact details.",1
"Your subscription has been renewed.",0
"Claim your free gift card today!",1
"Meeting follow-up email.",0
"Your account recovery is required.",1
"Thank you for your feedback.",0
"Alert: Suspicious login detected.",1
"Your payment is successful.",0
"Win an all-expense-paid trip!",1
"Team meeting minutes.",0
"Account suspended due to security concerns.",1
"Your order confirmation.",0
"Urgent: Verify your phone number.",1
"Congratulations on your promotion!",0
"Verify your account now to avoid suspension.",1
"Your recent transaction was successful.",0
"Claim your reward by clicking here.",1
"Project timeline updated.",0
"Your account has suspicious login attempts.",1
"Thank you for your support.",0
"Security alert: Password change required.",1
"Your package has been dispatched.",0
"Win a free smartwatch now!",1
"Meeting scheduled for next week.",0
"Account locked due to suspicious activity.",1
